inn,name,employees,okved_main,region,contacts,site,source
9703073496,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА КОМПАНИЙ ""ИННОТЕХ""",9030,62,Г. МОСКВА,—,—,www.list-org.com
7736663049,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-СЕРВИС""",7133,62,Г. МОСКВА,+7-919-778-07-94,—,www.list-org.com
7705514400,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОРМ""",6921,62,Г. МОСКВА,+7-495-927-48-98,www.lukoil-inform.ru,www.list-org.com
7706729736,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРИНАТОМ""",6702,62,Г. МОСКВА,+7-495-239-45-45,http://greenatom.ru,www.list-org.com
7703475603,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОЗОН ТЕХНОЛОГИИ""",5994,62,Г. МОСКВА,—,—,www.list-org.com
7605016030,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""КОМПАНИЯ ""ТЕНЗОР""",5972,62,"ЯРОСЛАВСКАЯ ОБЛАСТЬ,Г. ЯРОСЛАВЛЬ",+7-4852-45-14-13,yaroslavl.gidro-sistema.ru,www.list-org.com
7707767501,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МТС ВЕБ СЕРВИСЫ""",5670,62,Г. МОСКВА,+7-495-921-48-81,—,www.list-org.com
7743773042,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОРНИКЕЛЬ СПУТНИК""",5136,62,Г. МОСКВА,+7-495-787-04-58,—,www.list-org.com
7728654530,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМНЕФТЬ-ЦИФРОВЫЕ РЕШЕНИЯ""",4889,62,Г. САНКТ-ПЕТЕРБУРГ,+7-495-514-03-68,http://it-sk.ru,www.list-org.com
1615014289,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТ ИКС 5 ТЕХНОЛОГИИ""",4481,62,"РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН),ВЕРХНЕУСЛОНСКИЙ Р-Н",—,—,www.list-org.com
7743180892,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЦР""",3693,62,Г. МОСКВА,—,—,www.list-org.com
2311168514,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТМ""",3675,62,"КРАСНОДАРСКИЙ КРАЙ,Г. КРАСНОДАР",+7-861-298-34-22,—,www.list-org.com
7719232155,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РНТ""",3564,62,Г. МОСКВА,+7-495-730-63-62,www.epam-group.ru,www.list-org.com
9729304853,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЧТА СЕРВИС""",3354,62,Г. МОСКВА,—,—,www.list-org.com
4400001172,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВКОМБАНК ТЕХНОЛОГИИ""",3342,62,"МОСКОВСКАЯ ОБЛАСТЬ,ОДИНЦОВСКИЙ",—,—,www.list-org.com
